VLC-ZRH
BIO-GRX
BCN-TNG
SCQ-ZRH
BCN-SIN
MAD-RBA
PMI-VGO
CHI-MAD
LPA-SPC
LUX-MAD
LED-MAD
OVD-SVQ
BCN-CMB
ALC-PAR
LWO-MAD
BIO-VGO
DBV-MAD
BEY-MAD
TCI-VGO
MAD-ZAG
ALC-ZRH
PAR-YMQ
BCN-SGN
MAD-MLA
BOD-MAD
BCN-KIV
PAR-TYO
MAD-MAN
BOG-CLO
LPB-MAD
KIV-MAD
MAD-MGA
FDF-PAR
BIO-MAH
LIS-OPO
BCN-HKG
AGP-AMS
BRU-LYS
PAR-SJO
BCN-BOS
MOW-PAR
GVA-PAR
ROM-SVQ
ROM-TCI
BCN-SSA
PAR-PTP
BCN-JKT
BCN-KRK
HAJ-MAD
PAR-VCE
BIO-VCE
DKR-PAR
BIO-BUD
BCN-ZAG
AGP-VIE
BCN-EVN
CTA-MAD
MAD-PTY
MAD-SRZ
AMS-VLC
OPO-VLC
AGP-BER
AGP-BUE
BCN-KUL
PAR-VIE
BCN-LUX
MAD-YTO
BUD-PRG
LAS-MAD
PAR-RUN
ALC-AMS
BCN-PTY
BCN-REK
BIO-ZRH
ALC-ROM
BOG-CUN
CUN-MEX
MAD-TBS
LPA-PAR
ROM-VCE
MAD-WAS
BCN-COR
MAD-THR
BCN-CHI
BCN-YTO
LCG-TCI
BER-VLC
MAD-MRS
BIO-FRA
MAD-MLE
MIA-NYC
AGP-GVA
BCN-VGO
AGP-LIS
MUC-VLC
BCN-HAM
HKT-MAD
ALG-BCN
AMS-LON
BCN-BEG
VGO-VLC
CAS-VLC
BIO-TYO
BOG-PAR
ALG-MAD
ALC-MIL
BIO-SCQ
CAI-MAD
LON-LPA
OVD-PAR
BEY-PAR
BCN-SOF
JNB-MAD
FRA-VLC
MAD-REK
ALC-BRU
BIO-HAV
BCN-KTM
BEG-MAD
ACE-SVQ
BCN-SDQ
BCN-XRY
CTG-MAD
BCN-SRZ
LIS-RIO
CAN-LON
HKG-PAR
BCN-NAP
BCN-OSL
BCN-CAI
LED-MOW
PAR-TBS
MIA-VLC
AMS-PAR
BOG-CTG
AGP-TYO
BIO-LYS
PMI-PRG
BIO-BKK
MAD-SYD
MAD-SEL
FUE-SCQ
ATH-JTR
BOG-MDE
ALC-NYC
MIL-PAR
BCN-BUD
BUD-PAR
AGP-IEV
BCN-NCE
