MIA-EZE
GRU-MIA
EZE-MIA
MIA-GRU
HNL-NRT
JFK-CDG
NRT-HNL
NAS-MIA
MIA-NAS
MAD-JFK
CLO-BOG
JFK-MAD
LAS-SFO
BOG-CLO
YYZ-LGA
SFO-LAS
LAX-GRU
LGA-YYZ
CDG-JFK
BOG-MIA
LGA-YUL
MIA-BOG
YUL-LGA
EWR-LIS
TLV-BCN
MCO-GRU
LAX-SFO
LIS-EWR
MIA-GIG
GRU-MCO
EWR-MAD
JFK-TLV
EWR-ORY
SFO-LAX
BCN-TLV
GRU-LAX
ORY-EWR
MAD-EWR
CDG-LAX
MIA-ASU
LAX-CDG
GIG-MIA
TLV-JFK
MIA-SCL
JFK-GRU
GRU-JFK
LAX-LAS
GYE-UIO
MAD-MIA
MIA-MAD
UIO-GYE
BOG-LAX
LGW-JFK
EWR-MIA
JFK-BOG
EWR-BCN
BOG-JFK
LAX-BOG
SOF-JFK
BCN-EWR
SCL-JFK
LAS-LAX
JFK-LGW
SCL-MIA
ORD-LGA
ASU-MIA
MCO-EWR
JFK-SVO
SVO-JFK
EWR-MCO
JFK-SCL
MIA-EWR
RAI-BOS
MIA-MDE
LIM-CUZ
JFK-SOF
MDE-BOG
BCN-LAX
MIA-CLO
EZE-LAX
JFK-LAX
PRG-TLV
MCO-GIG
BOG-MCO
JFK-BCN
LGA-ORD
EZE-JFK
MDE-MIA
CUZ-LIM
MAD-LAX
CLO-MIA
JFK-EZE
BOS-RAI
TLV-PRG
LAX-GUA
BCN-JFK
GIG-MCO
MIA-COR
LAX-EWR
LAX-JFK
LAX-MEX
LGW-LAX
LAX-MEL
LGW-ORD
CTG-BOG
SFO-CDG
EWR-SFO
EWR-BRU
OPO-EWR
YVR-LAX
MEX-LAX
LAX-EZE
MEL-LAX
CDG-SFO
MCO-BOG
CUC-BOG
BOG-MDE
EWR-CDG
SFO-EWR
COR-MIA
GUA-LAX
JFK-FRA
EWR-LAX
MIA-VLN
LAX-SYD
CCS-MAD
EWR-OPO
JFK-MVD
FLL-YUL
BAQ-BOG
MDE-CTG
TIJ-GDL
LAX-SCL
CDG-EWR
MVD-JFK
SCL-LAX
ASU-MCO
SFO-SAN
KBP-TLV
MIA-POA
SWF-DUB
DUB-SWF
JNB-JFK
SCL-MCO
YUL-FLL
MIA-CDG
ORD-LGW
AMS-TLV
JFK-JNB
LAX-LGW
LGW-BOS
MNL-LAX
BCN-MIA
SAN-SFO
EZE-MCO
LAX-YVR
SVO-MIA
TLV-KBP
BOG-CUC
BRU-EWR
GDL-TIJ
IAD-SOF
POA-MIA
IAH-MIA
BOG-BAQ
BOG-CTG
LAX-MNL
VLN-MIA
BUD-TLV
CDG-TLV
BCN-ORD
JFK-LIS
MIA-BCN
JFK-SFO
TLV-AMS
AEP-MVD
CDG-MIA
LAX-SJO
OTP-TLV
MCO-ASU
GRU-SFO
HNL-LAX
LAX-HNL
MAD-LIM
MAD-ORD
EWR-LAS
LIM-MAD
MIA-IAH
MIA-MDZ
FCO-LAX
LAS-EWR
LGW-SEA
MDE-CLO
TLV-BUD
TLV-OTP
SYD-LAX
MAD-CCS
MDZ-MIA
MVD-AEP
LGA-MIA
MEX-CUN
CUE-UIO
SMR-BOG
YYZ-EWR
CTG-MDE
MCO-SCL
SVO-LED
SVO-SVX
YUL-EWR
FCO-EWR
LIM-SCL
MIA-TLV
BOS-LIS
JFK-GCM
UIO-CUE
YVR-SFO
BOG-IAH
LIS-JFK
MIA-GCM
MIA-MAR
EWR-FLL
MCO-EZE
GDL-LAX
GCM-JFK
IAH-BOG
CUN-LAX
LAX-CUN
SOF-IAD
SJO-GUA
TLV-CDG
GUA-SJO
JFK-MEX
LAX-LIM
GCM-MIA
LAX-BCN
LAX-GDL
ORD-MIA
JFK-BRU
SYD-SFO
CUN-MEX
JTR-ATH
MIA-ROS
LAX-MAD
ORD-LAX
PRG-JFK
BOS-YUL
LED-SVO
MIA-SVO
ORD-YYZ
SFO-HNL
SFO-JFK
CLO-MDE
LAX-BNE
MEX-JFK
SJO-LAX
EWR-YYZ
HNL-OGG
JFK-PRG
BOS-LGW
LGW-DEN
SVO-MAD
BOG-SMR
HNL-HND
LED-JFK
LIS-BOS
MIA-MVD
FCO-JFK
LAX-TLV
MVD-MIA
SFO-YVR
MAD-BCN
SFO-ORD
TLV-CPH
DME-SKX
LIM-LAX
NRT-JFK
FLL-EWR
JFK-GVA
TLV-FCO
TLV-MIA
YUL-BOS
BRU-JFK
MCO-ORD
AER-SVO
SCL-LIM
ASU-JFK
JFK-LIM
OGG-HNL
PEI-BOG
CLO-SMR
CTG-CLO
LAX-PER
SGN-REP
BKK-USM
HND-HNL
NAS-FLL
CLO-CTG
BGA-BOG
CPH-TLV
LIM-MIA
MIA-LGA
MIA-LIS
SVX-SVO
TLV-WAW
REP-SGN
BVB-IGU
MIA-ORD
SMR-CLO
BOG-BGA
LAX-LHR
TLV-LAX
EWR-YUL
MEX-ORD
MIA-SOF
SVX-DME
TLV-TBS
BOG-UIO
LAX-AKL
LIM-JFK
BEY-IST
DEN-LAX
LAX-ORD
MAR-MIA
SEA-SFO
SFO-SEA
TIJ-MEX
BCN-MAD
LAS-JFK
MAD-BOS
CDG-BOS
JFK-FCO
ORD-MAD
UIO-BOG
USM-BKK
YYZ-ORD
FLL-NAS
BNE-LAX
TBS-TLV
BKK-LAX
BOG-PEI
LAX-HND
ORD-MEX
ROS-MIA
YUL-JFK
AKL-LAX
EWR-BOG
IST-BEY
LAX-SEA
LAX-SOF
MEX-TIJ
SSA-MIA
GCM-TPA
HNL-SFO
JFK-MEL
TPA-GCM
CDG-MCO
EWR-FCO
GUA-MEX
MEX-GUA
SFO-ORY
GVA-JFK
JFK-NRT
LHR-JFK
PER-LAX
REP-PNH
TLV-LCA
BCN-SEA
CUN-JFK
GYE-JFK
KOA-HNL
LAX-DEN
LAX-LIS
MGA-SJO
SOF-TLV
DME-MAD
FCO-MAD
HNL-KOA
JFK-LED
LAX-NRT
SEA-LGW
AER-VKO
