ARN-BKK
STO-BKK
CPH-BKK
STO-NYC
GOT-BKK
STO-LON
ARN-NYC
ARN-HKT
STO-BCN
GOT-NYC
CPH-NYC
GOT-LON
ARN-LON
STO-HKT
STO-DXB
STO-AGP
ARN-BCN
STO-PAR
CPH-LON
CPH-PRN
ARN-DXB
CPH-BCN
GOT-BCN
ARN-LAX
STO-LAX
GOT-DXB
CPH-DXB
ARN-AGP
CPH-HKT
STO-IST
STO-ROM
CPH-BEY
STO-BER
STO-MIA
CPH-LAX
CPH-AGP
ARN-MIA
ARN-BEY
GOT-LAX
GOT-IST
STO-PMI
STO-ALC
GOT-AGP
GOT-MIA
ARN-PAR
CPH-MIA
STO-AMS
ARN-IST
CPH-PMI
STO-PRG
GOT-HKT
GOT-PAR
ARN-PMI
ARN-IKA
ARN-LPA
STO-SYD
ARN-MNL
CPH-IST
ARN-ALC
CPH-PAR
GOT-BEY
GOT-PMI
STO-MNL
GOT-ALC
STO-LPA
STO-NCE
ARN-AMS
STO-LIS
ARN-KBV
GOT-SGN
ARN-LHR
STO-BUD
CPH-ALC
CPH-AMS
ARN-PRG
ARN-BER
ARN-ATH
CPH-PRG
STO-ATH
STO-SFO
ARN-AMM
GOT-ROM
CPH-LIS
ARN-SYD
CPH-ROM
CPH-SGN
ARN-SGN
GOT-BER
ARN-ROM
STO-BEY
CPH-SFO
STO-DPS
STO-KUL
ARN-AYT
GOT-SFO
GOT-ATH
GOT-LPA
ARN-MCO
STO-AYT
STO-VIE
GOT-PRN
STO-HKG
ARN-KUL
STO-TYO
STO-GVA
ARN-EBL
GOT-AYT
STO-KBV
CPH-BER
CPH-LPA
GOT-AMS
STO-MUC
CPH-ZAG
STO-SIN
STO-MIL
ARN-SFO
STO-MAD
STO-ZRH
STO-DEL
GOT-NCE
ARN-ESB
CPH-ATH
STO-CPH
GOT-SPU
STO-CUN
ARN-LIS
CPH-AYT
GOT-MNL
ARN-NCE
CPH-SPU
STO-FRA
STO-SPU
STO-HEL
STO-SGN
GOT-LIS
ARN-CUN
ARN-DPS
GOT-BUD
ARN-SCL
ARN-BUD
ARN-FLL
GOT-EBL
CPH-CUN
STO-RIO
ARN-SPU
ARN-CMB
CPH-AMM
STO-CMB
STO-BRU
STO-DUB
STO-EBL
STO-SCL
GOT-PRG
GOT-STO
CPH-NCE
STO-FLL
ARN-VIE
CPH-VIE
ARN-USM
ARN-HKG
STO-BUE
STO-GOT
ARN-ZRH
CPH-MIL
ARN-MUC
PRN-CPH
STO-BEG
ARN-CPH
ARN-MAD
ARN-SIN
STO-TLV
CPH-MNL
CPH-IKA
STO-AMM
CPH-SYD
ARN-DUB
STO-THR
LON-STO
GOT-SYD
CPH-SIN
CPH-DUB
STO-USM
STO-IKA
GOT-IKA
CPH-LAS
ARN-DEL
STO-MAN
STO-HAV
ARN-GVA
CPH-HKG
STO-REK
CPH-BUD
STO-MLA
CPH-MAD
STO-RIX
GOT-HKG
CPH-TLV
ARN-JFK
ARN-FRA
ARN-TYO
STO-WAW
MMX-LON
ARN-LCA
CPH-FLL
GOT-FLL
CPH-HAN
CPH-KUL
STO-EDI
ARN-LAS
STO-LIM
GOT-LHR
GOT-MUC
CPH-KBV
ARN-CDG
STO-TCI
STO-FAO
GOT-AMM
STO-MEL
GOT-KBV
STO-LAS
STO-IEV
STO-CAI
STO-MCO
UME-STO
CPH-CMB
GOT-TLV
STO-BOM
BKK-ARN
ARN-LIM
ARN-HAV
CPH-MUC
STO-RHO
GOT-GVA
STO-CPT
CPH-LHR
GOT-CUN
CPH-DPS
CPH-KBL
GOT-CHQ
ARN-RHO
ARN-RIO
STO-HNL
CPH-MCO
ARN-MIL
ARN-GOT
STO-LCA
CPH-SJJ
CPH-TGD
GOT-DUB
STO-CHI
GOT-BOM
STO-CHQ
GOT-USM
CPH-SJO
ARN-HEL
GOT-ARN
STO-VCE
ARN-BEG
GOT-KUL
GOT-HAN
GOT-LCA
ARN-SKG
STO-BNE
STO-SKG
CPH-REK
GOT-ZAG
GOT-SJJ
LLA-ARN
GOT-FRA
ARN-ADD
ARN-CHQ
ARN-CPT
GOT-MAD
STO-SAN
ARN-CEB
ARN-VCE
STO-OSL
STO-AKL
ARN-LGW
STO-DBV
STO-ESB
CPH-EDI
CPH-GVA
STO-KRK
ARN-HNL
CPH-SKG
CPH-RIO
GOT-SIN
ARN-TUN
MMX-STO
STO-UME
CPH-TYO
GOT-DPS
CPH-CHQ
CPH-VCE
STO-LLA
CPH-USM
PRN-GOT
GOT-BRU
STO-ORL
ARN-MLA
OSL-BKK
CPH-EBL
CPH-MAN
STO-TUN
CPH-CPT
CPH-LCA
ARN-CAI
STO-MMX
STO-YTO
GOT-TYO
STO-RAK
ARN-MEL
GOT-DEL
GOT-RIO
STO-BJS
STO-SJJ
ARN-SAN
ARN-MAN
ARN-TCI
UME-ARN
ARN-LLA
ARN-TLV
GOT-MCO
STO-DUS
GOT-HEL
GOT-EDI
CPH-DBV
GOT-MIL
GOT-ZRH
ARN-AKL
GOT-LAS
ARN-SJO
ARN-EWR
GOT-SKG
GOT-DUS
CPH-ZRH
LLA-BKK
MMX-SKP
GOT-MAN
ARN-FAO
MMX-ARN
ARN-REK
STO-NBO
GOT-PVG
ARN-ALG
STO-MOW
CPH-SKP
ARN-ASM
STO-ZAG
ARN-SJJ
STO-SAO
ARN-DBV
STO-PSA
ARN-MMX
ARN-YVR
LON-GOT
STO-TPA
ARN-ORD
PAR-STO
ARN-EDI
ARN-BRU
GOT-MEL
CPH-DUS
BKK-STO
STO-GOI
STO-HAM
STO-CEB
ARN-PRN
BCN-STO
ARN-BUE
CPH-MEL
GOT-DBV
STO-YVR
CPH-SCL
GOT-VCE
OSL-NYC
GOT-REK
CPH-MLA
CPH-RAK
BKK-CPH
GOT-TCI
ARN-NBO
ARN-RIX
CPH-BRU
CPH-RHO
STO-ADD
GOT-MLA
ARN-UME
STO-MEX
ARN-BNE
GOT-THR
CPH-YTO
STO-OSD
ARN-WAW
GOT-YTO
STO-SJO
STO-TLL
GOT-PEK
GOT-SCL
CPH-DEL
AGP-STO
ARN-HAM
ARN-SAW
STO-FLR
ARN-TPA
STO-SHA
ARN-BGW
GOT-CHI
GOT-UME
GOT-RHO
GOT-CPT
STO-BUH
STO-KRN
ARN-GZP
GOT-AKL
STO-BGW
CPH-CHI
GOT-JFK
ARN-DUS
ARN-RAK
STO-PRN
GOT-CDG
BCN-ARN
GOT-VIE
STO-MRS
CPH-THR
LLA-STO
BEG-STO
CPH-PVG
STO-MLE
ARN-KBL
CPH-FLR
CPH-FRA
ARN-BOM
ARN-OSL
MMX-AGP
ARN-HAN
BEY-CPH
CPH-TCI
STO-JTR
ARN-SZG
LON-CPH
STO-SOF
CPH-HAV
GOT-FAO
CPH-MEX
GOT-CMB
CPH-SZG
ARN-MEX
CPH-HNL
STO-BJL
GOT-HAV
GOT-SZG
STO-VBY
BKK-USM
ARN-CHI
STO-SZG
GOT-BNE
GOT-AUH
STO-CAS
CPH-JTR
ARN-KBP
ARN-KRK
MMA-STO
CPH-LGW
STO-ANK
STO-PEK
ARN-EVN
ARN-KRN
ARN-AGA
STO-WAS
STO-PMO
ARN-TXL
UME-GOT
CPH-BUH
CPH-CAI
STO-ALG
ARN-BOB
CPH-YVR
GOT-BEG
ARN-ZAG
STO-GDN
CPH-STO
STO-ASM
GOT-WAS
CPH-HRG
CPH-JFK
ATH-STO
STO-JKT
ARN-BJS
BER-STO
CPH-BEG
GOT-BGW
STO-ZNZ
ARN-PEK
LON-ARN
ARN-BOS
ARN-SEA
MMX-LPA
GOT-BUH
ARN-YTO
STO-IBZ
ARN-TFS
STO-NAP
STO-BOS
GOT-ODS
CPH-CDG
STO-CGN
ARN-FLR
ARN-PER
GOT-LIM
STO-AGH
ATH-ARN
STO-VNO
STO-SEL
STO-HAN
CPH-FAO
ARN-JTR
ARN-FCO
GOT-HNL
STO-LHR
STO-LED
CPH-HEL
GOT-YVR
ARN-GOI
STO-SAP
STO-INN
GOT-FLR
GOT-CNS
STO-JNB
GOT-TUN
ARN-SOF
MMX-PMI
STO-AGA
GOT-ALG
CPH-AKL
GOT-CEB
CPH-EWR
GOT-SYZ
ARN-MLE
GOT-LLA
ARN-ISU
CPH-SAN
STO-KBP
CPH-BGW
GOT-ADD
STO-EVN
GOT-BHX
GOT-KRK
AMS-STO
CPH-SEL
STO-TFS
CPH-GOI
CPH-LJU
ARN-BOG
CPH-ORL
STO-VLC
GOT-ESB
ARN-OSD
ARN-VBY
CPH-INN
AGP-ARN
STO-BLQ
ARN-LED
MMX-ALC
ARN-SAO
GOT-CPH
CPH-TIA
ARN-BJL
GOT-SHA
ADD-ARN
BKK-GOT
ARN-MRU
CPH-PUY
STO-BOG
ARN-CGN
CPH-PEK
GOT-GOI
GOT-OSD
ARN-WAS
BEY-ARN
BKK-HKT
CPH-BUE
MMA-LON
IKA-ARN
STO-BHX
CPH-FNC
GOT-MRS
MMX-BUD
