City_OD,CountryCode, SabreShops ,PctOfTotal,CPCT
KBV-BKK,DK," 21,489 ",0.01%,78.18%
HAM-SEA,DK," 21,476 ",0.01%,78.19%
CPH-LEI,DK," 21,437 ",0.01%,78.20%
LON-REK,DK," 21,429 ",0.01%,78.21%
CPH-POS,DK," 21,364 ",0.01%,78.22%
HAM-WAS,DK," 21,342 ",0.01%,78.23%
LON-AMS,DK," 21,312 ",0.01%,78.24%
HAM-ASR,DK," 21,310 ",0.01%,78.25%
BOS-CPH,DK," 21,275 ",0.01%,78.26%
AAL-RHO,DK," 21,271 ",0.01%,78.27%
AKL-CPH,DK," 21,244 ",0.01%,78.28%
BLL-MSP,DK," 21,239 ",0.01%,78.29%
BLL-GDN,DK," 21,221 ",0.01%,78.30%
HAV-CPH,DK," 21,214 ",0.01%,78.31%
BLL-JKT,DK," 21,181 ",0.01%,78.31%
CPH-BRN,DK," 21,149 ",0.01%,78.32%
BLL-CTA,DK," 21,139 ",0.01%,78.33%
AAL-WAW,DK," 21,121 ",0.01%,78.34%
AMS-BKK,DK," 21,112 ",0.01%,78.35%
CPH-RAI,DK," 21,009 ",0.01%,78.36%
AAL-WAS,DK," 20,990 ",0.01%,78.37%
BLL-PDX,DK," 20,928 ",0.01%,78.38%
VCE-BLL,DK," 20,724 ",0.01%,78.39%
CPH-VTE,DK," 20,704 ",0.01%,78.40%
LON-BCN,DK," 20,700 ",0.01%,78.41%
CPH-CCU,DK," 20,659 ",0.01%,78.42%
CPH-GRZ,DK," 20,651 ",0.01%,78.43%
CPH-BZE,DK," 20,647 ",0.01%,78.44%
CPH-REP,DK," 20,642 ",0.01%,78.45%
HAM-BUE,DK," 20,623 ",0.01%,78.46%
LON-YMQ,DK," 20,588 ",0.01%,78.47%
AAL-YVR,DK," 20,553 ",0.01%,78.48%
HAM-HAN,DK," 20,549 ",0.01%,78.49%
HAM-BJS,DK," 20,501 ",0.01%,78.49%
AAR-PRG,DK," 20,418 ",0.01%,78.50%
BEY-BLL,DK," 20,408 ",0.01%,78.51%
AAR-MUC,DK," 20,089 ",0.01%,78.52%
LON-AGP,DK," 20,086 ",0.01%,78.53%
MMA-GDN,DK," 20,082 ",0.01%,78.54%
BKK-REP,DK," 20,060 ",0.01%,78.55%
AAR-GOT,DK," 20,054 ",0.01%,78.56%
CPH-PVK,DK," 20,020 ",0.01%,78.57%
BCN-AAL,DK," 20,010 ",0.01%,78.58%
AAL-JNB,DK," 19,986 ",0.01%,78.59%
BCN-HAM,DK," 19,981 ",0.01%,78.60%
MIA-NYC,DK," 19,970 ",0.01%,78.60%
AAL-HAV,DK," 19,967 ",0.01%,78.61%
HAM-BNE,DK," 19,934 ",0.01%,78.62%
AAL-CHQ,DK," 19,918 ",0.01%,78.63%
BKK-TDX,DK," 19,898 ",0.01%,78.64%
AAR-MIL,DK," 19,888 ",0.01%,78.65%
AAR-RNN,DK," 19,834 ",0.01%,78.66%
MAN-BLL,DK," 19,829 ",0.01%,78.67%
LON-SYD,DK," 19,785 ",0.01%,78.68%
MOW-ROM,DK," 19,777 ",0.01%,78.69%
OSL-REK,DK," 19,750 ",0.01%,78.70%
HAM-TYO,DK," 19,668 ",0.01%,78.70%
FAO-CPH,DK," 19,594 ",0.01%,78.71%
SCL-CPH,DK," 19,553 ",0.01%,78.72%
MOW-LED,DK," 19,505 ",0.01%,78.73%
GOH-CPH,DK," 19,504 ",0.01%,78.74%
MOW-IST,DK," 19,421 ",0.01%,78.75%
AAR-DUB,DK," 19,386 ",0.01%,78.76%
BRU-YMQ,DK," 19,380 ",0.01%,78.77%
CPH-DAD,DK," 19,318 ",0.01%,78.78%
CPH-ETH,DK," 19,314 ",0.01%,78.78%
BLL-JTR,DK," 19,307 ",0.01%,78.79%
SFO-HNL,DK," 19,262 ",0.01%,78.80%
CPH-MKC,DK," 19,259 ",0.01%,78.81%
BER-BKK,DK," 19,213 ",0.01%,78.82%
HAM-SSH,DK," 19,211 ",0.01%,78.83%
BLL-VAR,DK," 19,184 ",0.01%,78.84%
AAR-NCE,DK," 19,179 ",0.01%,78.85%
AMS-AAL,DK," 19,154 ",0.01%,78.85%
AAL-QUF,DK," 19,150 ",0.01%,78.86%
LED-CPH,DK," 19,146 ",0.01%,78.87%
BLL-LED,DK," 19,141 ",0.01%,78.88%
AMS-YMQ,DK," 19,139 ",0.01%,78.89%
CPH-BOO,DK," 19,108 ",0.01%,78.90%
CPH-CUR,DK," 19,033 ",0.01%,78.91%
BLL-TOS,DK," 19,031 ",0.01%,78.92%
KUL-DPS,DK," 19,030 ",0.01%,78.92%
FRA-YMQ,DK," 19,029 ",0.01%,78.93%
HAM-IEV,DK," 19,015 ",0.01%,78.94%
AAL-BXN,DK," 18,977 ",0.01%,78.95%
AAL-GOH,DK," 18,973 ",0.01%,78.96%
AAR-AYT,DK," 18,966 ",0.01%,78.97%
BNE-CPH,DK," 18,955 ",0.01%,78.98%
BLL-SEL,DK," 18,932 ",0.01%,78.98%
BKK-KUL,DK," 18,928 ",0.01%,78.99%
RHO-CPH,DK," 18,901 ",0.01%,79.00%
GOT-LON,DK," 18,870 ",0.01%,79.01%
CPH-RMI,DK," 18,818 ",0.01%,79.02%
BLL-GOT,DK," 18,795 ",0.01%,79.03%
HAM-LCA,DK," 18,741 ",0.01%,79.04%
BLL-TLS,DK," 18,668 ",0.01%,79.04%
HAM-BRU,DK," 18,649 ",0.01%,79.05%
BUD-YMQ,DK," 18,647 ",0.01%,79.06%
AAL-USM,DK," 18,602 ",0.01%,79.07%
CPH-BNX,DK," 18,590 ",0.01%,79.08%
CPH-HRE,DK," 18,587 ",0.01%,79.09%
HER-CPH,DK," 18,541 ",0.01%,79.10%
CPH-SHE,DK," 18,536 ",0.01%,79.10%
NYC-CUN,DK," 18,531 ",0.01%,79.11%
EBJ-ABZ,DK," 18,523 ",0.01%,79.12%
AAL-HRG,DK," 18,514 ",0.01%,79.13%
ZRH-YMQ,DK," 18,484 ",0.01%,79.14%
GOT-BKK,DK," 18,469 ",0.01%,79.15%
AAL-SEA,DK," 18,468 ",0.01%,79.15%
CPH-PEN,DK," 18,462 ",0.01%,79.16%
MMA-WAW,DK," 18,445 ",0.01%,79.17%
SZG-YMQ,DK," 18,443 ",0.01%,79.18%
CPH-SPC,DK," 18,392 ",0.01%,79.19%
VIE-YMQ,DK," 18,346 ",0.01%,79.20%
AYT-AAL,DK," 18,342 ",0.01%,79.21%
PRG-YMQ,DK," 18,328 ",0.01%,79.21%
AAL-VNO,DK," 18,315 ",0.01%,79.22%
CPT-CPH,DK," 18,314 ",0.01%,79.23%
HAM-SHA,DK," 18,282 ",0.01%,79.24%
BLL-IBZ,DK," 18,243 ",0.01%,79.25%
CPH-NTE,DK," 18,227 ",0.01%,79.26%
SIP-MOW,DK," 18,150 ",0.01%,79.26%
MOW-EVN,DK," 18,122 ",0.01%,79.27%
CPH-JNX,DK," 18,102 ",0.01%,79.28%
SEA-CPH,DK," 18,079 ",0.01%,79.29%
HAM-SKG,DK," 18,061 ",0.01%,79.30%
BLL-YMQ,DK," 18,004 ",0.01%,79.30%
CPH-SAP,DK," 17,940 ",0.01%,79.31%
CPH-TAS,DK," 17,933 ",0.01%,79.32%
AAR-GRO,DK," 17,927 ",0.01%,79.33%
CPH-DLA,DK," 17,909 ",0.01%,79.34%
IST-HAM,DK," 17,896 ",0.01%,79.35%
NYC-BLL,DK," 17,881 ",0.01%,79.35%
CPH-ASM,DK," 17,880 ",0.01%,79.36%
BLL-AMM,DK," 17,877 ",0.01%,79.37%
HAM-TLV,DK," 17,873 ",0.01%,79.38%
LAX-LAS,DK," 17,863 ",0.01%,79.39%
SFO-NYC,DK," 17,838 ",0.01%,79.39%
BLL-ADA,DK," 17,825 ",0.01%,79.40%
CPH-LXR,DK," 17,818 ",0.01%,79.41%
HAM-STR,DK," 17,805 ",0.01%,79.42%
BOM-CPH,DK," 17,766 ",0.01%,79.43%
AAL-FAO,DK," 17,758 ",0.01%,79.44%
EBJ-CPH,DK," 17,738 ",0.01%,79.44%
CPH-JHS,DK," 17,734 ",0.01%,79.45%
BKK-SIN,DK," 17,731 ",0.01%,79.46%
HEL-LON,DK," 17,684 ",0.01%,79.47%
AAL-HKG,DK," 17,620 ",0.01%,79.48%
CPH-SAT,DK," 17,534 ",0.01%,79.48%
AAR-MAD,DK," 17,504 ",0.01%,79.49%
CPH-MIR,DK," 17,473 ",0.01%,79.50%
HAM-KBV,DK," 17,470 ",0.01%,79.51%
LON-IST,DK," 17,422 ",0.01%,79.52%
CPH-BDS,DK," 17,369 ",0.01%,79.52%
CPH-CWL,DK," 17,330 ",0.01%,79.53%
NYC-CHI,DK," 17,328 ",0.01%,79.54%
CPH-BSB,DK," 17,328 ",0.01%,79.55%
AAL-MLA,DK," 17,310 ",0.01%,79.55%
ZRH-BLL,DK," 17,284 ",0.01%,79.56%
BER-NYC,DK," 17,225 ",0.01%,79.57%
CPH-CMF,DK," 17,218 ",0.01%,79.58%
YVR-CPH,DK," 17,190 ",0.01%,79.59%
AAL-BOS,DK," 17,190 ",0.01%,79.59%
SEL-CPH,DK," 17,170 ",0.01%,79.60%
BKK-HAM,DK," 17,151 ",0.01%,79.61%
AAL-CAI,DK," 17,128 ",0.01%,79.62%
BLL-PHX,DK," 17,120 ",0.01%,79.63%
VNO-BLL,DK," 17,084 ",0.01%,79.63%
HAM-BOS,DK," 17,066 ",0.01%,79.64%
CUN-CPH,DK," 17,060 ",0.01%,79.65%
HAM-FRA,DK," 17,046 ",0.01%,79.66%
AAR-LPA,DK," 17,024 ",0.01%,79.66%
CPH-BHZ,DK," 17,021 ",0.01%,79.67%
BLL-MRU,DK," 17,015 ",0.01%,79.68%
LON-EDI,DK," 16,974 ",0.01%,79.69%
AAL-TYO,DK," 16,947 ",0.01%,79.70%
SGN-BLL,DK," 16,929 ",0.01%,79.70%
CPH-STL,DK," 16,926 ",0.01%,79.71%
LON-BER,DK," 16,831 ",0.01%,79.72%
CPH-DRW,DK," 16,759 ",0.01%,79.73%
HAM-YVR,DK," 16,757 ",0.01%,79.73%
HAM-DBV,DK," 16,742 ",0.01%,79.74%
IST-AAL,DK," 16,732 ",0.01%,79.75%
STO-BER,DK," 16,715 ",0.01%,79.76%
CPH-ABJ,DK," 16,708 ",0.01%,79.76%
LON-DUB,DK," 16,678 ",0.01%,79.77%
OPO-CPH,DK," 16,674 ",0.01%,79.78%
HAM-TUN,DK," 16,637 ",0.01%,79.79%
SYD-AKL,DK," 16,623 ",0.01%,79.79%
HAM-MAA,DK," 16,615 ",0.01%,79.80%
HAM-JKT,DK," 16,551 ",0.01%,79.81%
BLL-KTM,DK," 16,548 ",0.01%,79.82%
AGP-AAR,DK," 16,542 ",0.01%,79.82%
AAR-TCI,DK," 16,529 ",0.01%,79.83%
OSL-AAR,DK," 16,528 ",0.01%,79.84%
AMS-LON,DK," 16,524 ",0.01%,79.85%
CPH-MJV,DK," 16,520 ",0.01%,79.86%
CPH-FRU,DK," 16,505 ",0.01%,79.86%
BLL-NCL,DK," 16,501 ",0.01%,79.87%
BLL-GOH,DK," 16,495 ",0.01%,79.88%
FRA-NYC,DK," 16,489 ",0.01%,79.89%
LAX-BLL,DK," 16,464 ",0.01%,79.89%
CPH-CLE,DK," 16,436 ",0.01%,79.90%
CPH-RJK,DK," 16,428 ",0.01%,79.91%
HKG-TPE,DK," 16,396 ",0.01%,79.92%
LON-LIS,DK," 16,377 ",0.01%,79.92%
BKK-RGN,DK," 16,376 ",0.01%,79.93%
CPH-GAN,DK," 16,340 ",0.01%,79.94%
CPH-OHD,DK," 16,338 ",0.01%,79.95%
HAM-CAI,DK," 16,321 ",0.01%,79.95%
HKG-BKK,DK," 16,309 ",0.01%,79.96%
CPH-SIP,DK," 16,309 ",0.01%,79.97%
BLL-TRN,DK," 16,308 ",0.01%,79.97%
SVG-BLL,DK," 16,304 ",0.01%,79.98%
BKK-SYD,DK," 16,290 ",0.01%,79.99%
LON-HAM,DK," 16,262 ",0.01%,80.00%
