BCN-BUH
AGP-IBZ
LEI-MAD
EDI-MAD
LIS-VLC
IEV-MAD
MAD-NAP
BCN-TBS
NYC-VLC
BCN-GVA
MAD-PEI
BIO-SVQ
PAR-ROM
MAD-MOW
CAS-MAD
LYS-MAD
IST-PAR
MAD-RIO
HAM-MAD
BCN-SAO
MAH-VLC
FLR-MAD
BCN-SVQ
KRK-MAD
AGP-NYC
BCN-DUS
ROM-VLC
BCN-BJZ
HAN-MAD
MAD-SFO
MAD-SDR
LON-SVQ
ASU-BCN
BIO-MUC
BCN-RAK
MAD-SJO
BIO-BRU
BCN-IST
BIQ-PAR
BCN-CLO
BCN-SFO
AGP-BCN
MAD-WAW
BCN-OVD
AGP-PRG
MAD-SHA
MAD-STR
IAS-MAD
BCN-SCQ
BCN-ZRH
LPA-OVD
DPS-MAD
LPA-SCQ
BRU-NCE
BUD-MAD
IBZ-SVQ
BCN-SHA
DXB-MAD
PAR-PRG
IBZ-MAH
BCN-CPH
ALC-TCI
GRX-MAD
LON-PAR
ALG-PAR
PMI-ZAZ
MAD-MNL
BCN-IEV
BJS-MAD
MAD-PUJ
BCN-IBZ
AGP-OVD
HEL-MAD
MAD-OSL
MAD-SGN
BER-PAR
BCN-DXB
BCN-DPS
ALC-BCN
BCN-SJO
BER-BIO
BCN-MVD
LPA-SVQ
BLQ-MAD
PAR-PMI
MAD-SDQ
CMB-MAD
EAS-MAD
MAD-NCE
RIO-SAO
BOS-MAD
MAD-MLN
MAD-SIN
BIO-ROM
AGP-SCQ
BCN-WAW
BCN-DEL
BCN-RIO
PAR-TLV
AGP-VLC
MAD-VLC
HKG-MAD
EAP-MAD
ALC-LPA
CAS-PAR
BKK-USM
BCN-MDE
MAD-MVD
IBZ-LPA
BUH-VLC
BCN-UIO
LPA-VLC
GVA-VLC
BCN-HAN
AGP-BIO
BIO-BUH
JKT-MAD
LPA-VGO
BCN-HEL
BCN-STO
ACE-BCN
MAD-SPC
BCN-LEN
MAD-OSA
BIO-IBZ
BCN-OSA
KTM-MAD
DPS-PAR
BCN-CUN
MAD-SSA
FNC-MAD
DXB-PAR
LEI-SVQ
BOG-MEX
BIO-MIL
MAD-NTE
ATH-PAR
BCN-BJS
VIE-VLC
MAD-NBO
KUL-MAD
COR-MAD
BCN-LED
BCN-MNL
BIO-VIE
PAR-TUN
BHX-MAD
AGP-MUC
BCN-OPO
IBZ-TCI
